Temperature,Humidity,Soil Moisture,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Soil Type,Season,Location,Crop
21.7,32.0,26.46356087963834,43,61,27,5.6,128.6,Loamy,Rabi,Nagpur,Kidneybeans
30.0,49.8,35.860887676679674,44,46,25,8.0,66.8,Loamy,Rabi,Delhi,Mothbeans
26.4,63.6,56.11458386672157,31,58,18,4.4,65.2,Clay,Kharif,Bangalore,Mothbeans
24.3,62.7,48.818337869192234,38,58,25,5.2,141.5,Red,Zaid,Delhi,Pigeonpeas
17.8,91.0,78.10625992010219,30,21,38,5.6,99.9,Black,Kharif,Mumbai,Pomegranate
22.3,80.2,67.10487140785793,58,39,36,6.0,218.9,Loamy,Kharif,Chennai,Rice
29.6,58.9,49.222019742721955,40,41,24,6.0,63.9,Clay,Rabi,Pune,Mungbean
24.5,70.1,63.11902368809926,12,73,26,6.7,44.5,Black,Kharif,Kolkata,Lentil
25.9,80.8,65.81707942743236,35,120,196,6.0,66.1,Red,Kharif,Kolkata,Grapes
20.9,20.5,10.0,31,53,23,6.2,112.3,Red,Rabi,Nagpur,Kidneybeans
24.1,88.1,78.55235671924173,52,50,40,6.9,124.9,Black,Zaid,Nagpur,Papaya
20.4,86.8,74.53115663143646,41,143,196,5.5,82.0,Clay,Kharif,Bangalore,Grapes
26.5,87.1,72.45443742881591,101,90,49,6.2,93.5,Clay,Zaid,Pune,Banana
27.3,95.6,87.41688207416331,36,21,27,6.4,195.8,Black,Zaid,Bangalore,Coconut
28.8,63.9,55.888524865420806,21,65,12,5.7,49.9,Loamy,Zaid,Pune,Lentil
18.7,29.3,14.768023846784208,22,51,23,5.9,91.8,Clay,Zaid,Hyderabad,Kidneybeans
20.1,60.6,53.80848940465191,15,82,13,5.5,40.3,Loamy,Kharif,Nagpur,Lentil
18.5,70.8,65.36979689715918,30,82,11,6.7,31.9,Loamy,Rabi,Chennai,Lentil
22.0,96.5,90.0,40,27,37,6.5,96.4,Red,Rabi,Chennai,Pomegranate
24.7,96.7,89.27619277231904,107,23,52,6.3,53.1,Red,Zaid,Pune,Watermelon
25.1,96.3,83.65489983249846,117,15,58,5.9,64.8,Loamy,Zaid,Ahmedabad,Watermelon
